IDtimetable,coursecode,IDprogramme,coursegrps,numbstudents,stdlevel,IDroom,roomname,examPERIOD,examDATE
4538,INF408,BSC ( INFO. TECH.),NULL,37,400,48,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,06-May-2013
4539,HUB414,BSC ( HUMAN BIOLOGY),NULL,66,400,44,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,20-May-2013
4540,ENS410,B.SC ( ENV. SCIENCES),NULL,63,400,41,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,13-May-2013
4541,ENS402A,B.SC ( ENV. SCIENCES),NULL,63,400,48,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,15-May-2013
4542,EIN148,B. ED. ( BASIC EDUCATION),NULL,87,400,48,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,23-May-2013
4543,EPH441,B. ED. ( HPER),NULL,47,400,28,LECTURE THEATER,08:30AM - 10:30AM,24-May-2013
4544,BCH426,B.SC. ( BIOCHEMISTRY),NULL,23,400,49,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,08-May-2013
4545,INF402,BSC ( INFO. TECH.),NULL,37,400,32,"LARGE LECTURE THEATER ",12NOON - 14:00PM,21-May-2013
4546,MBB414,BSC ( MOL. BIO. AND BIOTECH.),NULL,79,400,48,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,14-May-2013
4547,BPS425,B. SC. (PSYCH),NULL,57,400,29,LECTURE THEATER,15:30PM - 17:30PM,10-May-2013
4548,MED414,MB Ch. B.,NULL,49,400,49,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,14-May-2013
4549,MLT420A,BSC. ( MEDLAB),NULL,24,400,45,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,15-May-2013
4550,BPS423,B. SC. (PSYCH),NULL,161,400,32,"LARGE LECTURE THEATER ",15:30PM - 17:30PM,07-May-2013
4551,INF406,BSC ( INFO. TECH.),NULL,37,400,52,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,09-May-2013
4552,HUB402,BSC ( HUMAN BIOLOGY),NULL,66,400,35,ASSEMBLY HALL,08:30AM - 10:30AM,13-May-2013
4553,EVT408,B. ED. ( HOME ECONS.),NULL,116,400,35,ASSEMBLY HALL,08:30AM - 10:30AM,20-May-2013
4554,EHS402,B. ED. ( HEALTH SCIENCES),NULL,82,400,32,"LARGE LECTURE THEATER ",12NOON - 14:00PM,21-May-2013
